expected semantic name,input,correct/incorrect,not_correct_segment,correct_segment_v2,correct_segment_v3,no_idx_in_semantic
ปัญหาการกดเงินสดตู้ต่างธนาคาร,เสียบบัตรที่ตู้ธนาคารกสิกรไม่ได้ ทำไง,yes,เสียบ บัตร ที่ ตู้ ธนาคารกสิกร ไม่ได้ ทำไง,เสียบ บัตร ที่ ตู้ ธนาคารกสิกร ไม่ได้ ทำไง,เสียบ บัตร ที่ ตู้ ธนาคารกสิกร ไม่ได้ ทำไง,1
แจ้งปัญหาการใช้งานตู้ atm,กดเงินไม่ได้ ตู้ atm ขึ้น ขออภัย เครื่องยังไม่รองรับการทำรายการจากบัตรชิปการ์ด กรุณารับบัตรคืน,no,กด เงิน ไม่ได้ ตู้ atm ขึ้น ขออภัย เครื่อง ยัง ไม่ รองรับ การ ทำ รายการ จาก บัตร ชิป การ์ด กรุณา รับ บัตร คืน,กดเงิน ไม่ได้ ตู้ atm ขึ้น ขออภัย เครื่อง ยัง ไม่ รองรับ การ ทำ รายการ จาก บัตร ชิป การ์ด กรุณา รับ บัตร คืน,กดเงิน ไม่ได้ ตู้ atm ขึ้น ขออภัย เครื่อง ยัง ไม่ รองรับ การ ทำ รายการ จาก บัตร ชิป การ์ด กรุณา รับ บัตร คืน,1
สอบถามการปิดบัญชี,ปิดบัญชีต่างสาขาได้มั้ย,no,ปิดบัญชี ต่าง สาขา ได้ ม ั ้ ย,ปิดบัญชี ต่าง สาขา ได้ไหม,ปิดบัญชี ต่าง สาขา ได้ไหม,1
ต้องการปิดบัญชี,ปิดบัญชีออมทรัพย์ยังไง,no,ปิดบัญชี ออมทรัพย์ ยังไง,ปิดบัญชี ออมทรัพย์ ยังไง,ปิดบัญชี ออมทรัพย์ ยังไง,1
เจ้าของบัญชีเสียชีวิต,ต้องมีหลักฐานอะไรบ้างในการปิดบัญชีผู้เสียชีวิต,yes,ต้อง มี หลักฐาน อะไร บ้าง ใน การ ปิดบัญชี ผู้ เสียชีวิต,ต้อง มี หลักฐาน อะไรบ้าง ใน การ ปิดบัญชี ผู้ เสียชีวิต,ต้อง มี หลักฐาน อะไรบ้าง ใน การ ปิดบัญชี ผู้ เสียชีวิต,1
ติดต่อ admin,อยากคุยกับเจ้าหน้าที่,no,อยาก คุย กับ เจ้าหน้าที่,อยาก คุย กับ เจ้าหน้าที่,อยาก คุย กับ เจ้าหน้าที่,1
ต้องการให้ธนาคารติดต่อกลับ,รอการติดต่อจากเจ้าหน้าที่อยู่นะครับ ไม่ทราบว่าจะติดต่อมาตอนไหน,yes,รอ การ ติดต่อ จาก เจ้าหน้าที่ อยู่ นะครับ ไม่ทราบ ว่า จะ ติดต่อ มา ตอน ไหน,รอ การ ติดต่อ จาก เจ้าหน้าที่ อยู่ นะครับ ไม่ทราบ ว่า จะ ติดต่อ มา ตอน ไหน,รอ การ ติดต่อ จาก เจ้าหน้าที่ อยู่ นะครับ ไม่ทราบ ว่า จะ ติดต่อ มา ตอน ไหน,1
สอบถามข้อมูลสำนักงานใหญ่,ขอแผนที่สำนักงานใหญ่,yes,ขอ แผนที่ สำนักงานใหญ่,ขอ แผนที่ สำนักงานใหญ่,ขอ แผนที่ สำนักงานใหญ่,1
สอบถามหมายเลขโทรศัพท์ call center,เบอติดต่อกับ สนง ใหญ่ เบอไร,no,เบอ ติดต่อ กับ ส นง ใหญ่ เบ อไร,เบอร์ ติดต่อ กับ สำนักงาน ใหญ่ เบอร์_อะไร,เบอร์ ติดต่อ กับ สำนักงาน ใหญ่ เบอร์_อะไร,1
สอบถามข้อมูลสาขา,เวลาเปิดปิดกี่โมงที่สาขายานนาวา,yes,เวลาเปิดปิด กี่โมง ที่ สาขา ยานนาวา,เวลาเปิดปิด กี่โมง ที่ สาขา ยานนาวา,เวลาเปิดปิด กี่โมง ที่ สาขา ยานนาวา,1
สอบถามการ claim ประกัน,ต้องการเคลมประกันทำยังไงบ้าง,no,ต้องการ เคลม ประกัน ทำ ยังไง บ้าง,ต้องการ เคลม ประกัน ทำ ยังไง บ้าง,ต้องการ เคลม ประกัน ทำ ยังไง บ้าง,1
ขอเพิ่มวงเงินฉุกเฉิน,ค่าผ่าตัด 100000 เบิกได้เท่าไหร่,no,ค่า ผ่าตัด 1##### เบิก ได้ เท่าไหร่,ค่า ผ่าตัด 1##### เบิก ได้ เท่าไหร่,ค่า ผ่าตัด 1##### เบิก ได้ เท่าไหร่,1
สอบถามการสมัครบัตร,เอกสารการสมัครบัตรเดบิต,no,เอกสาร การ สมัคร บัตรเดบิต,เอกสาร การ สมัคร บัตรเดบิต,เอกสาร การ สมัคร บัตรเดบิต,1
คุณสมบัติผู้สมัคร,อายุ 15 สมัครทำเดบิตได้มั้ย,no,อายุ ## สมัคร ทำ เดบิต ได้ ม ั ้ ย,อายุ ## สมัคร ทำ เดบิต ได้ไหม,อายุ ## สมัคร ทำ เดบิต ได้ไหม,1
สอบถามการเปิดบัญชี,มีเงิน600 เปิดบันชีบัดรเดบิด ได้มั้ย,no,มีเงิน 6## เปิด บัน ชี บัด ร เด บิด ได้ ม ั ้ ย,มีเงิน 6## เปิด บัญชี บัตร เดบิต ได้ไหม,มีเงิน 6## เปิด บัญชี บัตร เดบิต ได้ไหม,1
ข้อมูลผลิตภัณฑ์ประเภทบัตร,ป่วยบ่อย สมัครบัตรไหนดี,yes,ป่วย บ่อย สมัคร บัตร ไหน ดี,ป่วย บ่อย สมัคร บัตร ไหน ดี,ป่วย บ่อย สมัคร บัตร ไหน ดี,1
สอบถามสิทธิประโยชน์บัตร,ขอข้อมูลตัวประโยชน์ของบัตรเดบิตว่ามีอะไรบ้าง,yes,ขอ ข้อมูล ตัว ประโยชน์ ของ บัตรเดบิต ว่า มี อะไร บ้าง,ขอ ข้อมูล ตัว ประโยชน์ ของ บัตรเดบิต ว่า มีอะไรบ้าง,ขอ ข้อมูล ตัว ประโยชน์ ของ บัตรเดบิต ว่า มีอะไรบ้าง,1
สิทธิประโยชน์บัตรเดบิต,whu should i use debit card,yes,whu should i use debit card,whu should i use debit card,whu should i use debit card,1
สอบถามค่าธรรมเนียมบัตร,ค่าธรรมเนียมเดบิตกรุงศรีรายปี,no,ค่าธรรมเนียม เดบิต กรุงศรี รายปี,ค่าธรรมเนียม เดบิต กรุงศรี รายปี,ค่าธรรมเนียม เดบิต กรุงศรี รายปี,1
สมัครบัตรใหม่,อยากสมัตรเดบิตสักใบ ขอ info. หน่อย,no,อยาก สม ั ตร เดบิต สัก ใบ ขอ info . หน่อย,อยากสมัคร เดบิต สัก ใบ ขอ info . หน่อย,อยากสมัคร เดบิต สัก ใบ ขอ info . หน่อย,1
ข้อมูลผลิตภัณฑ์ประเภทบัญชี,สอบถามประโยชน์ของเงินฝาก บัญชีไหนดีสุด,yes,สอบถาม ประโยชน์ ของ เงินฝาก บัญชี ไหน ดี สุด,สอบถาม ประโยชน์ ของ เงินฝาก บัญชี ไหน ดี สุด,สอบถาม ประโยชน์ ของ เงินฝาก บัญชี ไหน ดี สุด,1
สอบถามค่าธรรมเนียมรายปี,ค่าธรรมเนียมบัญชีเงินฝากแต่ละบัญชีเท่าไหร่,no,ค่าธรรมเนียม บัญชีเงินฝาก แต่ละ บัญชี เท่าไหร่,ค่าธรรมเนียม บัญชีเงินฝาก แต่ละ บัญชี เท่าไหร่,ค่าธรรมเนียม บัญชีเงินฝาก แต่ละ บัญชี เท่าไหร่,1
สอบถามค่าธรรมเนียม,เงินฝากบัญชีไหน ไม่มีค่าธรรมเนียม,yes,เงินฝาก บัญชี ไหน ไม่มี ค่าธรรมเนียม,เงินฝาก บัญชี ไหน ไม่มี ค่าธรรมเนียม,เงินฝาก บัญชี ไหน ไม่มี ค่าธรรมเนียม,1
สอบถามการโอนเงินไปต่างประเทศ,ผมโอนเงินไปประเทศใดได้บ้าง มีรายละเอียดมั้ย,no,ผม โอนเงิน ไป ประเทศ ใด ได้ บ้าง มี รายละเอียด ม ั ้ ย,ผม โอนเงิน ไป ประเทศ ใด ได้ บ้าง มี รายละเอียด ไหม,ผม โอนเงิน ไป ประเทศ ใด ได้ บ้าง มี รายละเอียด ไหม,1
สอบถามการโอนเงินจากต่างประเทศ,ต้องการนำเงินสกุล us dollar โอนกลับเข้าไทย ใช้วิธีไหนดีสุด,no,ต้องการ นำ เงิน สกุล us dollar โอน กลับ เข้า ไทย ใช้วิธี ไหน ดี สุด,ต้องการ นำ เงิน สกุล us dollar โอน กลับ เข้า ไทย ใช้วิธี ไหน ดี สุด,ต้องการ นำ เงิน สกุล us dollar โอน กลับ เข้า ไทย ใช้วิธี ไหน ดี สุด,1
sms alert,sms alert คืออะไร,yes,sms alert คือ อะไร,sms alert คือ อะไร,sms alert คือ อะไร,1
สมัคร sms alert,อยากสมัคร sms แจ้งเตือนหลังถอนเงิน,yes,อยาก สมัคร sms แจ้ง เตือน หลัง ถอนเงิน,อยากสมัคร sms แจ้ง เตือน หลัง ถอนเงิน,อยากสมัคร sms แจ้ง เตือน หลัง ถอนเงิน,1
สอบถามค่าธรรมเนียม sms alert,สมัคร sms มีค่าธรรมเนียมมั้ย,yes,สมัคร sms มี ค่าธรรมเนียม ม ั ้ ย,สมัคร sms มี ค่าธรรมเนียม ไหม,สมัคร sms มี ค่าธรรมเนียม ไหม,1
สมัคร app,ผมสามารถเปิดใช้งานแอป kma ได้ยังไงบ้าง,no,ผม สามารถ เปิด ใช้งาน แอป kma ได้ ยังไง บ้าง,ผม สามารถ เปิด ใช้งาน app kma ได้ ยังไง บ้าง,ผม สามารถ เปิด ใช้งาน app kma ได้ ยังไง บ้าง,1
สอบถามการสมัคร app,มีกรุงศรีออนไลน์ เปิดใช้ kma ได้มั้ย,no,มี กรุงศรี ออนไลน์ เปิด ใช้ kma ได้ ม ั ้ ย,มี กรุงศรี ออนไลน์ เปิด ใช้ kma ได้ไหม,มี กรุงศรี ออนไลน์ เปิด ใช้ kma ได้ไหม,1
สอบถามยอดเงินในบัญชี,ตรวจสอบยอดเงินในบัญชี,yes,ตรวจสอบ ยอดเงิน ใน บัญชี,ตรวจสอบ ยอดเงิน ใน บัญชี,ตรวจสอบ ยอดเงิน ใน บัญชี,1
สอบถาม krungsri online,ตรวจสอบยอดผ่าน kol ได้มั้ย,no,ตรวจสอบ ยอด ผ่าน kol ได้ ม ั ้ ย,ตรวจสอบ ยอด ผ่าน kol ได้ไหม,ตรวจสอบ ยอด ผ่าน kol ได้ไหม,1
สอบถามค่าธรรมเนียมเปิดสมุดบัญชีใหม่,ค่าธรรมเนียมแรกเข้ากี่บาท,no,ค่าธรรมเนียม แรก เข้า กี่ บาท,ค่าธรรมเนียม แรก เข้า กี่ บาท,ค่าธรรมเนียม แรก เข้า กี่ บาท,1
สอบถามยอดชำระ,เราสามารถตรวจสอบยอดชำระได้ที่ไหน,no,เรา สามารถ ตรวจสอบ ยอด ชำระ ได้ ที่ไหน,เรา สามารถ ตรวจสอบ ยอด ชำระ ได้ ที่ไหน,เรา สามารถ ตรวจสอบ ยอด ชำระ ได้ ที่ไหน,1
สอบถามยอด,ขอเบอร์ติดต่อเพื่อสอบถามข้อมูลยอดสินเชื่อครับ,no,ขอ เบอร์ ติดต่อ เพื่อ สอบถาม ข้อมูล ยอด สินเชื่อ ครับ,ขอ เบอร์ ติดต่อ เพื่อ สอบถาม ข้อมูล ยอด สินเชื่อ ครับ,ขอ เบอร์ ติดต่อ เพื่อ สอบถาม ข้อมูล ยอด สินเชื่อ ครับ,1
ปัญหาการใช้ app,kma ตรวจสอบตัวยอดสินเชื่อบุคคลได้มั้ย แล้วดูได้ที่ไหน,no,kma ตรวจสอบ ตัว ยอด สินเชื่อบุคคล ได้ ม ั ้ ย แล้ว ดู ได้ ที่ไหน,kma ตรวจสอบ ตัว ยอด สินเชื่อบุคคล ได้ไหม แล้ว ดู ได้ ที่ไหน,kma ตรวจสอบ ตัว ยอด สินเชื่อบุคคล ได้ไหม แล้ว ดู ได้ ที่ไหน,1
ค่าปรับชำระล่าช้า,ค่าปรับค่างวดที่จ่ายช้านี่คิดยังไงครับ,no,ค่าปรับ ค่างวด ที่ จ่าย ช้า นี่ คิด ยังไง ครับ,ค่าปรับ ค่างวด ที่ จ่าย ช้า นี่ คิด ยังไง ครับ,ค่าปรับ ค่างวด ที่ จ่าย ช้า นี่ คิด ยังไง ครับ,1
สอบถามยอดชำระทั้งหมด,ค่างวดทั้งหมดที่ต้องจ่ายกี่บาท,no,ค่างวด ทั้งหมด ที่ ต้อง จ่าย กี่ บาท,ค่างวด ทั้งหมด ที่ ต้อง จ่าย กี่ บาท,ค่างวด ทั้งหมด ที่ ต้อง จ่าย กี่ บาท,1
วิธีการชำระสินเชื่อ,ขอคำแนะนำกานชำรคางวดหน่อยครับ,no,ขอ คำแนะนำ กาน ชำ ร คา งวด หน่อย ครับ,ขอ คำแนะนำ กาน ชำระ ค่างวด หน่อย ครับ,ขอ คำแนะนำ กาน ชำระ ค่างวด หน่อย ครับ,1
สอบถามวงเงินคงเหลือ,วงเงินคงเหลือจากสินเชื่อ เหลือเท่าไหร่,no,วงเงิน คงเหลือ จาก สินเชื่อ เหลือ เท่าไหร่,วงเงิน คงเหลือ จาก สินเชื่อ เหลือ เท่าไหร่,วงเงิน คงเหลือ จาก สินเชื่อ เหลือ เท่าไหร่,1
สอบถามวงเงิน,ขอดูยอดวงเงินของบัตร debit หน่อยครับ,yes,ขอ ดู ยอด วงเงิน ของ บัตร debit หน่อย ครับ,ขอ ดู ยอด วงเงิน ของ บัตร debit หน่อย ครับ,ขอ ดู ยอด วงเงิน ของ บัตร debit หน่อย ครับ,1
ตรวจสอบรายการเดินบัญชี,ถอนเงินไปตอน 5 โมง อยากขอดูรายการเดินบัญชี,yes,ถอนเงิน ไป ตอน 5 โมง อยาก ขอ ดู รายการ เดินบัญชี,ถอนเงิน ไป ตอน 5 โมง อยาก ขอ ดู รายการ เดินบัญชี,ถอนเงิน ไป ตอน 5 โมง อยาก ขอ ดู รายการ เดินบัญชี,1
ขอ statement ย้อนหลัง,ต้องการดูรายงานธุรกรรมย้อนหลัง 1 ปี,no,ต้องการ ดู รายงาน ธุรกรรม ย้อนหลัง 1 ปี,ต้องการ ดู รายงาน ธุรกรรม ย้อนหลัง 1 ปี,ต้องการ ดู รายงาน ธุรกรรม ย้อนหลัง 1 ปี,1
วิธีการขอ statement,ขอขั้นตอนการขอรายงานการเดินบัญชี,yes,ขอ ขั้นตอน การ ขอ รายงาน การเดิน บัญชี,ขอ ขั้นตอน การ ขอ รายงาน การเดิน บัญชี,ขอ ขั้นตอน การ ขอ รายงาน การเดิน บัญชี,1
สอบถาม swift code,ผมจะโอนเงินไปต่างประเทศ 50000 บาท ต้องใช้รหัสโอนเงินอะไร,no,ผม จะ โอนเงิน ไป ต่างประเทศ 5#### บาท ต้อง ใช้ รหัส โอนเงิน อะไร,ผม จะ โอนเงิน ไป ต่างประเทศ 5#### บาท ต้อง ใช้ รหัส โอนเงิน อะไร,ผม จะ โอนเงิน ไป ต่างประเทศ 5#### บาท ต้อง ใช้ รหัส โอนเงิน อะไร,1
สอบถามรหัสประจำตัว,รหัสประจำตัวคืออะไร,no,รหัส ประจำตัว คือ อะไร,รหัส ประจำตัว คือ อะไร,รหัส ประจำตัว คือ อะไร,1
ความหมายของรหัสประจำตัว,what name should i use ?,yes,what name should i use ?,what name should i use ?,what name should i use ?,1
อัตราการแลกเปลี่ยนเงินตราต่างประเทศ,สกุลเงิน อัตราแลกเปลี่ยน,yes,สกุลเงิน อัตรา แลกเปลี่ยน,สกุลเงิน อัตรา แลกเปลี่ยน,สกุลเงิน อัตรา แลกเปลี่ยน,1
สอบถามการแลกเปลี่ยนเงินตราต่างประเทศ,อยากแลกเงินไทยเป็นเงินเยน,yes,อยาก แลก เงิน ไทย เป็น เงิน เยน,อยาก แลก เงิน ไทย เป็น เงินเยน,อยาก แลก เงิน ไทย เป็น เงินเยน,1
สอบถามการต่อประกัน,ต่ออายุประกันใช้เอกสารอะไร,no,ต่ออายุ ประกัน ใช้ เอกสาร อะไร,ต่ออายุ ประกัน ใช้ เอกสาร อะไร,ต่ออายุ ประกัน ใช้ เอกสาร อะไร,1
สอบถามค่าธรรมเนียมการโอนเงิน,ค่าธรรมเนียมโอนเงินไปอเมริกากี่บาท,no,ค่าธรรมเนียม โอนเงิน ไป อเมริกา กี่ บาท,ค่าธรรมเนียม โอนเงิน ไป อเมริกา กี่ บาท,ค่าธรรมเนียม โอนเงิน ไป อเมริกา กี่ บาท,1
ปัญหายังไม่ได้รับของกำนัลตามเงื่อนไข,ของแถมยังไม่ได้เลย,no,ของแถม ยัง ไม่ ได้เลย,ของแถม ยัง ไม่ ได้เลย,ของแถม ยัง ไม่ ได้เลย,1
สอบถามการแลกของกำนัล,1000 พ้อยท์ แลกของอะไรบ้าง,no,1### พ้อยท์ แลก ของ อะไร บ้าง,1### พ้อยท์ แลก ของ อะไรบ้าง,1### พ้อยท์ แลก ของ อะไรบ้าง,1
ลืมรหัส atm,ลืมรหัสบัตร atm ทำยังไงได้บ้าง,yes,ลืม รหัส บัตร atm ทำ ยังไง ได้ บ้าง,ลืม รหัส บัตร atm ทำ ยังไง ได้ บ้าง,ลืม รหัส บัตร atm ทำ ยังไง ได้ บ้าง,1
